import time: self [us] | cumulative | imported package
import time:       998 |        998 |                 scipy.optimize._trustregion_ncg
import time:     14474 |      14474 |                     scipy.optimize._trlib._trlib
import time:      2142 |      16615 |                   scipy.optimize._trlib
import time:      1125 |      17739 |                 scipy.optimize._trustregion_krylov
import time:      2487 |       2487 |                 scipy.optimize._trustregion_exact
import time:      1120 |       1120 |                     scipy.optimize._constraints
import time:       361 |        361 |                           sksparse
import time:        58 |        418 |                         sksparse.cholmod
import time:       933 |       1351 |                       scipy.optimize._trustregion_constr.projections
import time:       935 |        935 |                       scipy.optimize._trustregion_constr.qp_subproblem
import time:      1094 |       3380 |                     scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:      3686 |       3686 |                     scipy.optimize._trustregion_constr.canonical_constraint
import time:      1388 |       1388 |                     scipy.optimize._trustregion_constr.tr_interior_point
import time:       808 |        808 |                     scipy.optimize._trustregion_constr.report
import time:      2069 |      12448 |                   scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:      1278 |      13726 |                 scipy.optimize._trustregion_constr
import time:     10915 |      10915 |                   scipy.optimize._lbfgsb
import time:       976 |      11891 |                 scipy.optimize._lbfgsb_py
import time:     11628 |      11628 |                   scipy.optimize._moduleTNC
import time:      2699 |      14326 |                 scipy.optimize._tnc
import time:     11955 |      11955 |                   scipy.optimize._cobyla
import time:      1388 |      13343 |                 scipy.optimize._cobyla_py
import time:      1469 |       1469 |                 scipy.optimize._cobyqa_py
import time:     13309 |      13309 |                   scipy.optimize._slsqp
import time:      2865 |      16174 |                 scipy.optimize._slsqp_py
import time:      1733 |      98433 |               scipy.optimize._minimize
import time:      9998 |       9998 |                   scipy.optimize._minpack
import time:      1646 |       1646 |                         scipy.optimize._lsq.common
import time:      1104 |       2750 |                       scipy.optimize._lsq.trf
import time:      2026 |       2026 |                       scipy.optimize._lsq.dogbox
import time:      2193 |       6967 |                     scipy.optimize._lsq.least_squares
import time:     10939 |      10939 |                         scipy.optimize._lsq.givens_elimination
import time:       971 |      11909 |                       scipy.optimize._lsq.trf_linear
import time:      1608 |       1608 |                       scipy.optimize._lsq.bvls
import time:      1269 |      14785 |                     scipy.optimize._lsq.lsq_linear
import time:      3016 |      24768 |                   scipy.optimize._lsq
import time:      2346 |      37111 |                 scipy.optimize._minpack_py
import time:      2983 |       2983 |                 scipy.optimize._spectral
import time:      8868 |       8868 |                 scipy.optimize._nonlin
import time:      1257 |      50217 |               scipy.optimize._root
import time:     15207 |      15207 |                   scipy.optimize._zeros
import time:      2326 |      17533 |                 scipy.optimize._zeros_py
import time:      2259 |      19791 |               scipy.optimize._root_scalar
import time:     11960 |      11960 |                 scipy.optimize._cython_nnls
import time:      1763 |      13722 |               scipy.optimize._nnls
import time:      9785 |       9785 |               scipy.optimize._basinhopping
import time:       917 |        917 |                     scipy.optimize._highspy
import time:     28091 |      28091 |                     scipy.optimize._highspy._core
import time:     12381 |      12381 |                     scipy.optimize._highspy._highs_options
import time:      2168 |      43556 |                   scipy.optimize._highspy._highs_wrapper
import time:      1363 |      44919 |                 scipy.optimize._linprog_highs
import time:       419 |        419 |                                 uarray
import time:     15223 |      15223 |                                     scipy._lib._uarray._uarray
import time:      4741 |      19964 |                                   scipy._lib._uarray._backend
import time:       877 |      20840 |                                 scipy._lib._uarray
